#fondo
40,53,62	42,52,62	40,53,61
210,174,86	222,187,87	221,182,81
240,221,145	244,222,149	251,227,157
246,219,150	244,215,149	248,218,154
246,214,153	239,207,148	226,200,141
197,182,81	206,191,90	199,185,86
206,190,94	201,187,90	204,190,93
166,160,82	174,168,84	186,176,91
220,229,104	228,229,102	234,229,101
221,230,101	230,231,101	236,234,99
222,228,106	234,234,110	237,234,103
209,190,52	218,198,63	228,205,73
206,187,48	212,193,55	221,197,63
213,191,46	213,190,52	224,197,66
238,212,125	238,211,122	235,205,115
242,213,121	229,207,108	232,208,108
237,206,113	227,210,102	226,208,100
218,192,135	224,196,133	222,198,126
222,190,115	243,208,127	225,194,112
246,210,122	239,203,115	175,149,65
185,180,122	186,184,123	179,177,116
183,177,119	178,173,117	184,185,128
155,153,105	147,146,98	142,144,95
239,215,83	246,223,93	252,227,100
238,206,71	242,216,79	240,216,82
224,203,76	208,192,70	180,169,53
